                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.11989,                0.14292,               0.060827,               0.030105,               0.046829,               0.095808,               0.037062,              0.0091512,              0.0069872,                0.43321,               0.016243,              0.0033898,                0.11205,                0.10053,               0.054392,               0.023677,                 0.0919,                 0.0009,                 0.0009
                      1,                0.10446,               0.090894,               0.073212,               0.023751,                0.62952,                0.22396,                0.15793,               0.038043,                0.61446,                0.19792,                0.16939,               0.048867,               0.081503,               0.076849,                0.06744,               0.016255,               0.082896,              0.0018962,              0.0018962
                      2,               0.090191,               0.059591,               0.070469,               0.018003,                0.14077,                0.26532,                0.12738,               0.043533,                0.28287,                0.28339,                0.19015,               0.064122,               0.086741,                0.06725,                0.12408,               0.012624,               0.073889,              0.0028885,              0.0028885
                      3,               0.088229,               0.053994,               0.062811,               0.011323,                0.22012,                0.29688,                0.29065,               0.063955,                0.34469,                0.54728,                0.39264,                 0.1228,               0.082267,               0.060521,               0.068253,               0.006623,               0.064877,              0.0038768,              0.0038768
                      4,               0.082029,               0.045339,               0.052843,              0.0077758,                0.30831,                0.51777,                0.42119,                0.14598,                0.39132,                0.61257,                 0.4727,                0.18894,               0.086582,               0.060593,               0.053844,              0.0028322,               0.055861,              0.0048612,              0.0048612
                      5,               0.089869,               0.042747,                 0.0489,              0.0057774,                0.45463,                0.56872,                0.51805,                0.18698,                0.51038,                 0.6602,                 0.5681,                0.21728,               0.071026,               0.057865,               0.050098,              0.0016437,               0.046842,              0.0058416,              0.0058416
                      6,               0.082679,               0.040598,               0.048639,              0.0052903,                0.47938,                0.50031,                0.44506,                0.14443,                0.54864,                0.53568,                0.54593,                0.23138,               0.082715,               0.051676,               0.043142,              0.0013696,               0.037818,               0.006818,               0.006818
                      7,               0.079622,               0.037636,               0.047192,              0.0047525,                 0.3655,                 0.6492,                 0.4036,                0.12459,                0.55399,                0.71736,                0.61372,                 0.3164,               0.074993,               0.052067,               0.045149,              0.0015736,               0.028791,              0.0077905,              0.0077905
                      8,               0.082984,               0.035707,               0.042747,              0.0044896,                0.36223,                0.79779,                0.48258,                0.14711,                 0.3914,                0.76838,                0.51485,                0.25616,               0.079834,               0.059768,               0.058657,               0.001543,               0.019759,               0.008759,               0.008759
                      9,               0.079165,               0.036209,               0.044997,              0.0045116,                0.44061,                0.79267,                0.54949,                0.22356,                0.44035,                0.74592,                0.60909,                0.33559,               0.071908,               0.052724,               0.051201,              0.0013341,               0.010724,              0.0097236,              0.0097236
                     10,               0.076327,                0.03408,               0.043199,               0.003954,                0.36278,                0.71814,                0.48451,                0.15678,                0.58552,                0.79959,                0.72356,                0.38067,               0.073692,               0.051989,               0.048033,               0.001453,               0.009802,               0.009802,               0.009802
                     11,               0.073021,               0.032019,               0.044963,              0.0037192,                0.56137,                0.70176,                0.72138,                0.28475,                0.59342,                0.71391,                0.76584,                0.42892,                0.07589,               0.057979,               0.064884,              0.0010401,               0.009802,               0.009802,               0.009802
                     12,               0.071534,                0.03014,               0.046172,              0.0030646,                0.48754,                0.83115,                0.59532,                0.21552,                0.56957,                0.88241,                0.77964,                0.42269,               0.073991,               0.047873,               0.050285,             0.00089467,              0.0097822,              0.0097822,              0.0097822
                     13,               0.072526,               0.028741,               0.039556,              0.0032723,                0.57696,                0.86117,                0.70894,                0.30183,                0.60521,                0.84875,                0.75824,                0.41623,               0.063811,               0.047934,                0.04097,               0.001567,              0.0097624,              0.0097624,              0.0097624
                     14,               0.065613,                0.02718,               0.042516,              0.0041793,                0.33087,                0.78217,                0.39179,                0.14042,                0.38398,                0.78362,                0.47414,                0.22674,               0.057546,               0.054451,               0.045549,              0.0015344,              0.0097426,              0.0097426,              0.0097426
                     15,               0.062824,                0.02587,               0.039524,              0.0035727,                 0.5238,                0.60723,                0.63675,                  0.274,                0.53818,                0.70129,                0.68617,                0.40076,               0.060741,               0.057187,               0.050188,              0.0012239,              0.0097228,              0.0097228,              0.0097228
                     16,               0.063796,               0.026502,               0.038852,               0.003587,                0.47605,                0.71758,                 0.6425,                0.33018,                0.50493,                0.72496,                0.67454,                0.39438,               0.062234,               0.065687,                0.04879,              0.0011693,               0.009703,               0.009703,               0.009703
                     17,               0.057165,               0.024016,               0.038807,               0.002832,                0.48182,                0.78217,                0.70311,                0.31624,                0.50496,                0.83364,                0.73016,                0.46722,               0.057603,               0.064095,               0.050451,             0.00091071,              0.0096832,              0.0096832,              0.0096832
                     18,               0.054864,               0.026222,                0.04187,              0.0022999,                0.69598,                0.86143,                0.86322,                0.37109,                0.69326,                0.85539,                0.86027,                0.60046,               0.052383,               0.049978,               0.047977,              0.0010723,              0.0096634,              0.0096634,              0.0096634
                     19,                0.05722,               0.024698,                0.03968,               0.002474,                0.66287,                0.80484,                0.72525,                0.36998,                0.67249,                0.81219,                0.74757,                0.49748,               0.045834,               0.052888,               0.043655,              0.0010387,              0.0096436,              0.0096436,              0.0096436
                     20,               0.051519,               0.024516,               0.038581,              0.0026339,                0.76616,                0.92586,                0.89359,                0.53463,                0.76261,                0.92586,                0.89458,                0.63373,                0.04932,               0.052132,               0.046637,              0.0010015,              0.0096238,              0.0096238,              0.0096238
                     21,               0.050904,               0.022848,               0.036903,              0.0024365,                0.57464,                0.78952,                0.71787,                0.40334,                0.57018,                0.81456,                0.74577,                0.49912,               0.050361,               0.048616,               0.043831,              0.0011556,               0.009604,               0.009604,               0.009604
                     22,               0.053114,               0.022898,               0.036561,              0.0020397,                0.73007,                0.84596,                0.87782,                0.45834,                0.74019,                0.88634,                0.88884,                0.55523,               0.055333,               0.053846,               0.041389,              0.0010556,              0.0095842,              0.0095842,              0.0095842
                     23,               0.050224,               0.022929,                0.03738,              0.0018595,                0.91329,                0.97561,                0.97341,                0.51108,                0.90797,                 0.9704,                0.96847,                0.69947,               0.041487,               0.062421,               0.044577,              0.0012027,              0.0095644,              0.0095644,              0.0095644
                     24,               0.047846,               0.022092,               0.033965,              0.0021109,                0.74142,                0.92243,                0.89291,                0.51826,                0.75021,                0.93408,                0.90343,                0.66443,               0.042697,               0.058312,               0.047047,              0.0012532,              0.0095446,              0.0095446,              0.0095446
                     25,               0.047375,               0.022762,               0.037755,              0.0021592,                0.67426,                0.95619,                0.79263,                0.48617,                0.71648,                0.89645,                0.80842,                0.54685,               0.038262,               0.055404,               0.044382,              0.0013547,              0.0095248,              0.0095248,              0.0095248
                     26,               0.043802,               0.020392,               0.036147,              0.0021387,                0.72088,                0.90288,                0.88182,                0.48835,                0.73297,                 0.9133,                0.88213,                0.62151,               0.042255,               0.055131,               0.048428,              0.0013214,               0.009505,               0.009505,               0.009505
                     27,               0.044403,               0.021684,               0.033822,              0.0022322,                0.69208,                0.93229,                0.91197,                0.59234,                0.69208,                0.93229,                0.90735,                0.66753,               0.036966,               0.058105,               0.048944,               0.001494,              0.0094852,              0.0094852,              0.0094852
                     28,                 0.0409,               0.021501,               0.034764,              0.0021748,                0.72995,                0.91115,                0.89909,                 0.5539,                 0.7296,                0.91412,                0.89778,                0.65599,               0.036627,               0.054208,               0.045477,               0.001239,              0.0094654,              0.0094654,              0.0094654
                     29,               0.043378,                 0.0211,               0.034436,               0.001756,                0.69208,                0.89659,                0.89361,                0.51673,                0.69208,                0.89659,                 0.8856,                0.60659,               0.039952,               0.051433,               0.045023,              0.0013992,              0.0094456,              0.0094456,              0.0094456
                     30,               0.044788,               0.020919,               0.034494,              0.0020605,                0.80601,                0.94074,                0.95083,                0.59578,                0.81275,                0.93204,                0.93937,                0.65617,               0.038381,               0.046164,               0.043991,              0.0016129,              0.0094258,              0.0094258,              0.0094258
                     31,               0.042726,               0.019969,               0.034024,              0.0018992,                0.79334,                0.94056,                 0.9254,                0.52641,                 0.7896,                0.94792,                0.92626,                0.68779,               0.041671,               0.053022,               0.047768,              0.0013186,               0.009406,               0.009406,               0.009406
                     32,               0.044344,               0.019284,               0.033693,              0.0016258,                0.86546,                0.94792,                0.94629,                0.56534,                0.86816,                0.94792,                0.94535,                0.68324,               0.037126,               0.056827,               0.048563,              0.0012583,              0.0093862,              0.0093862,              0.0093862
                     33,               0.041067,               0.020161,               0.034605,              0.0015004,                0.79513,                0.88096,                0.91596,                0.55788,                0.79513,                0.88096,                0.91566,                0.63882,               0.042739,               0.054045,               0.051199,              0.0013669,              0.0093664,              0.0093664,              0.0093664
                     34,               0.041201,               0.019876,                 0.0328,              0.0016088,                 0.8397,                 0.9614,                0.91713,                0.52137,                0.84135,                0.95963,                0.93184,                0.62553,               0.039335,               0.048594,               0.047487,              0.0013644,              0.0093466,              0.0093466,              0.0093466
                     35,               0.039622,               0.019717,               0.031954,              0.0014684,                0.89712,                0.98958,                0.95677,                0.61754,                0.89712,                0.98958,                0.95297,                0.71282,               0.033418,               0.050331,               0.046671,              0.0010715,              0.0093268,              0.0093268,              0.0093268
                     36,               0.041116,               0.020372,               0.032552,              0.0014771,                0.95645,                0.97702,                0.98757,                0.59387,                0.96366,                0.98438,                0.98594,                0.74225,               0.034813,               0.047748,               0.045713,              0.0010342,               0.009307,               0.009307,               0.009307
                     37,               0.041967,               0.019232,               0.031655,              0.0013692,                0.72506,                0.88817,                0.87661,                0.54131,                0.73038,                0.88457,                  0.884,                0.59179,               0.038106,               0.047423,               0.046648,              0.0010018,              0.0092872,              0.0092872,              0.0092872
                     38,               0.040321,                0.01929,               0.034055,              0.0015068,                0.83047,                0.94471,                 0.9638,                0.63546,                0.81558,                0.93589,                0.94745,                 0.6824,               0.038479,               0.046433,               0.048573,              0.0011587,              0.0092674,              0.0092674,              0.0092674
                     39,               0.039675,               0.019495,                0.03219,              0.0017418,                0.86018,                  0.926,                0.94137,                0.54982,                0.86298,                0.92348,                0.94247,                0.70162,               0.036599,               0.052629,               0.051167,              0.0013513,              0.0092476,              0.0092476,              0.0092476
                     40,                0.03982,               0.020063,               0.033727,              0.0017726,                0.94552,                0.96158,                0.97962,                0.63049,                0.94552,                0.96158,                0.97387,                 0.7351,               0.037405,               0.048738,               0.051302,              0.0012123,              0.0092278,              0.0092278,              0.0092278
                     41,               0.040225,               0.017578,               0.031568,              0.0016309,                0.89203,                0.93413,                0.97002,                 0.6533,                0.88682,                0.92892,                0.96002,                0.70263,               0.035214,               0.043535,               0.046515,              0.0010706,               0.009208,               0.009208,               0.009208
                     42,               0.039713,               0.018337,                0.03052,              0.0014796,                0.94385,                0.94884,                0.97831,                0.67462,                0.92954,                0.96022,                0.97634,                0.71296,               0.038471,               0.041002,               0.044495,              0.0010141,              0.0091882,              0.0091882,              0.0091882
                     43,                0.03918,               0.020332,               0.032281,              0.0013537,                0.93274,                0.95791,                0.98793,                0.70645,                  0.916,                0.96679,                0.98516,                0.76073,               0.032918,               0.044914,               0.045998,             0.00089283,              0.0091684,              0.0091684,              0.0091684
                     44,                0.03908,               0.019255,               0.032291,               0.001341,                0.87681,                0.95619,                0.97975,                0.62515,                0.87381,                0.96125,                0.98038,                0.73474,               0.032357,               0.040869,               0.044344,             0.00093603,              0.0091486,              0.0091486,              0.0091486
                     45,               0.038348,               0.017844,               0.031142,              0.0012499,                 0.8792,                0.96875,                0.96735,                0.62764,                 0.8792,                0.96875,                0.96073,                0.70098,               0.031532,               0.041746,               0.044165,             0.00093584,              0.0091288,              0.0091288,              0.0091288
                     46,                0.03932,               0.017814,               0.032964,              0.0012115,                0.84277,                0.95499,                0.90684,                0.57133,                0.85485,                0.96944,                0.93157,                0.62371,               0.037811,               0.045198,               0.046768,             0.00089078,               0.009109,               0.009109,               0.009109
                     47,                0.03828,               0.017483,               0.030056,              0.0011236,                0.96545,                0.97396,                0.98658,                0.68824,                0.95915,                0.96875,                0.98187,                0.75701,               0.034153,               0.044603,               0.046623,              0.0010474,              0.0090892,              0.0090892,              0.0090892
                     48,               0.036083,               0.017974,               0.030971,              0.0014009,                 0.9156,                 0.9375,                0.98031,                0.66346,                 0.9156,                 0.9375,                0.97675,                0.75475,                0.03509,               0.044718,               0.047554,              0.0010932,              0.0090694,              0.0090694,              0.0090694
                     49,               0.036003,               0.017715,               0.031595,              0.0013691,                0.93778,                0.97792,                0.97938,                0.66654,                0.93778,                0.97792,                0.97528,                0.70533,                0.03556,               0.041948,               0.045797,              0.0010777,              0.0090496,              0.0090496,              0.0090496
                     50,                0.03594,               0.017378,               0.031664,              0.0013995,                0.85885,                0.95664,                0.94746,                0.62577,                 0.8602,                0.95545,                 0.9425,                0.67691,               0.036833,               0.042328,               0.047281,               0.001074,              0.0090298,              0.0090298,              0.0090298
